job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
自动化测试工程师,石家庄·石家庄·长江大道,7-12K,河北御芝林,医疗健康,1000-9999人,未融资,3-5年,本科,带薪年假、 免费健身房、 免费住宿、 员工旅游、 五险一金、 餐补、 节日福利、 全勤奖、 年终奖、 员工生日会
项目经理,石家庄·石家庄·平安北大街,10-15K,红火电力,新能源,20-99人,,5-10年,本科,
售前技术支持,石家庄·石家庄·北国商城,8-13K,腾翔科技,计算机软件,100-499人,未融资,3-5年,本科,六一节日津贴、 定期体检、 福利假期、 节日福利、 全薪病假、 通讯补贴、 餐补、 零食下午茶、 交通补助、 加班补助、 五险一金、 护理假、 带薪年假、 实额试用缴纳
WPF研发工程师,石家庄·石家庄·天山海世界,10-15K,华发教育,智能硬件,100-499人,已上市,3-5年,大专,加班补助、 五险一金、 节日福利、 零食下午茶、 通讯补贴、 餐补、 全勤奖
等保测评工程师,石家庄·石家庄·开发区,6-10K,中科国安,计算机软件,20-99人,未融资,1-3年,本科,生日福利、 五险一金、 全勤奖、 工龄奖、 团建聚餐、 保底工资、 带薪年假、 定期体检、 通讯补贴、 节日福利、 员工旅游、 年终奖
弱电智能化项目经理,石家庄·石家庄·石家庄北站,7-8K,旺田,通信/网络设备,0-20人,,3-5年,大专,
中高级web前端开发工程师,石家庄·石家庄·万象天成,6-10K,日成科技,互联网,0-20人,,3-5年,大专,
初中级web前端工程师,石家庄·石家庄·建华,4-6K,特邈科技,移动互联网,20-99人,天使轮,1-3年,本科,交通补助、 休闲区、 五险、 全勤奖、 年终奖、 餐补、 加班补助、 通讯补贴、 节日福利、 零食下午茶、 员工旅游、 带薪年假
.net开发工程师,石家庄·石家庄·维明,6-11K,恒源水务,智能硬件,20-99人,不需要融资,经验不限,本科,
嵌入式,石家庄·石家庄·宫家庄,8-10K,东雁科技,智能硬件,20-99人,未融资,3-5年,本科,底薪加提成、 保底工资、 年终奖、 五险一金、 绩效奖金
系统集成,石家庄·石家庄·中山西路,5-10K,迅控,仪器仪表/工业自动化,0-20人,,3-5年,本科,
研发经理,石家庄·石家庄·太和电子城,5-10K,蓝石电子,计算机软件,0-20人,,3-5年,本科,
项目主管,石家庄·石家庄·体育北大街,5-8K,东尊生态,工程施工,20-99人,,3-5年,大专,
Unity开发人员（2人）,石家庄·石家庄·万象天成,15-30K·13薪,旭阳集团,其他行业,10000人以上,已上市,经验不限,本科,通讯补贴、 定期体检、 带薪年假、 年终奖、 股票期权、 节日福利、 五险一金
前端开发工程师,石家庄·石家庄·乐汇城,5-10K,河北合硕信息科技...,计算机软件,100-499人,,1-3年,大专,五险一金、 零食下午茶、 餐补、 补充医疗保险、 全勤奖、 交通补助、 员工旅游、 带薪年假、 加班补助、 节日福利、 年终奖、 定期体检、 通讯补贴
软件测评人员,石家庄·石家庄·红旗,4-8K,河北方维,信息安全,20-99人,未融资,经验不限,本科,年终奖、 员工旅游、 五险一金
初级前端开发工程师,石家庄·石家庄·方北,5-7K,创卓电子,通信/网络设备,0-20人,,1-3年,本科,员工旅游、 定期体检、 五险一金
